"full_address","longitude","latitude"
"1 Bright Street, Franklin, ACT 2913",149.1465948,-35.2013824
"5 Grace Place, Amaroo, ACT 2914",149.1275198,-35.173174
"46 Investigator Street, Red Hill, ACT 2603",149.1347414,-35.3426507
"67 Caley Crescent, Narrabundah, ACT 2604",149.142412,-35.3355388
"288/80 Chandler Street, Belconnen, ACT 2617",149.0705729,-35.2420241
"63 Alabaster Street, Monash, ACT 2904",149.0947363,-35.4147366
"9 Sutton Place, Farrer, ACT 2607",149.0993102,-35.3722956
"2 Collings Street, Pearce, ACT 2607",149.0781461,-35.3611566
"23 Turtle Rock Street, Harrison, ACT 2914",149.151586,-35.2069443
"96 Jansz Crescent, Griffith, ACT 2603",149.1339789,-35.3359552
"23 Maranboy Street, Fisher, ACT 2611",149.0625443,-35.3604284
"7 Saxby Close, Amaroo, ACT 2914",149.1272058,-35.1712972
"37 Durack Street, Downer, ACT 2602",149.140528,-35.2407291
"21 Numiari Street, Bonner, ACT 2914",149.1405504,-35.1567967
"1 MacIntyre Place, Charnwood, ACT 2615",149.0332741,-35.2022735
"44 Elsey Street, Hawker, ACT 2614",149.0319295,-35.2503908
"9 Sandover Circuit, Amaroo, ACT 2914",149.1264433,-35.1738817
"1203/8 Gribble Street, Gungahlin, ACT 2912",149.1311605,-35.182482
"9 Dalyell Street, Chisholm, ACT 2905",149.1180112,-35.4229032
"8 Bagster Place, Florey, ACT 2615",149.0447931,-35.2209475
"29 Willoughby Crescent, Gilmore, ACT 2905",149.1353694,-35.4101648
"227 Namatjira Drive, Fisher, ACT 2611",149.0510685,-35.3645484
"7 Byatt Place, Isaacs, ACT 2607",149.11097,-35.3747745
"6 Snapper Crescent, Throsby, ACT 2914",149.1643949,-35.1975052
"433/26 Anzac Park, Campbell, ACT 2612",149.1431825,-35.2886747
"49 Amagula Avenue, Ngunnawal, ACT 2913",149.1143247,-35.1784598
"6 Echidna Street, Throsby, ACT 2914",149.1621516,-35.1868438
"38 House Circuit, Banks, ACT 2906",149.0914181,-35.4677359
"7 Isaacson Street, Franklin, ACT 2913",149.1475261,-35.192644
"39 Jemalong Street, Duffy, ACT 2611",149.0298679,-35.3361344
"17 Lange Place, Bruce, ACT 2617",149.0914181,-35.2381906
"17 Zanci Street, Crace, ACT 2911",149.104557,-35.2032803
"2/20 Petre Street, Scullin, ACT 2614",149.0424175,-35.234566
"206/41 Chandler Street, Belconnen, ACT 2617",149.0709502,-35.2394623
"104 Archdall Street, Dunlop, ACT 2615",149.01602,-35.1998029
"1 Peel Street, O'Connor, ACT 2602",149.1196258,-35.2598554
"302/335 Anketell Street, Greenway, ACT 2900",149.0726141,-35.4215894
"10 Lyster Place, Melba, ACT 2615",149.0496341,-35.207013
"68/148 Flemington Road, Harrison, ACT 2914",149.1494785,-35.202444
"4/5 Hely Street, Griffith, ACT 2603",149.1476382,-35.3218943
"6 Grevillea Street, O'Connor, ACT 2602",149.1188409,-35.2535171
"18 Stretton Crescent, Latham, ACT 2615",149.0401764,-35.2203029
"80/217 Northbourne Avenue, Turner, ACT 2612",149.13131,-35.261925
"41/136 Thynne Street, Bruce, ACT 2617",149.0997362,-35.2422266
"16 Mellor Circuit, Florey, ACT 2615",149.051203,-35.2226422
"1/82 Dixon Drive, Holder, ACT 2611",149.0395713,-35.3335878
"36 Noongale Court, Ngunnawal, ACT 2913",149.1203883,-35.1768031
"23 Bargang Crescent, Ngunnawal, ACT 2913",149.1047363,-35.1734438
"92 Lionel Rose Street, Holt, ACT 2615",148.9988594,-35.2255929
"3/31 McLorinan Street, Chisholm, ACT 2905",149.1144457,-35.4260241
"10 Porteous Crescent, Theodore, ACT 2905",149.1232139,-35.4406519
"910/120 Eastern Valley Way, Belconnen, ACT 2617",149.0735953,-35.240714
"2 Driver Place, Evatt, ACT 2617",149.0685965,-35.2067352
"27 Grover Crescent, McKellar, ACT 2617",149.0741024,-35.2194966
"11 Janice Seto Street, Taylor, ACT 2913",149.1099161,-35.1783044
"64/3 Nevertire Street, Lawson, ACT 2617",149.0913732,-35.2336337
"269/1 Anthony Rolfe Avenue, Gungahlin, ACT 2912",149.1299195,-35.181994
"4 Littler Place, Banks, ACT 2906",149.0993999,-35.4721244
"9 Hirschfeld Crescent, MacGregor, ACT 2615",149.0099705,-35.2134304
"161 Emu Bank, Belconnen, ACT 2617",149.0664078,-35.2364497
"31/77 Gozzard Street, Gungahlin, ACT 2912",149.1328845,-35.1819422
"23 Kilduff Street, Watson, ACT 2602",149.1649515,-35.2316519
"49 Devenish St, Taylor, ACT 2913",149.1029615,-35.1465958
"51 Sherwood Circuit, Gordon, ACT 2906",149.0876067,-35.4627839
"10 Mermaid Street, Red Hill, ACT 2603",149.1241558,-35.3407125
"7 Mayes Street, Taylor, ACT 2913",149.1112063,-35.1472485
"145 Ratcliffe Crescent, Florey, ACT 2615",149.0546546,-35.2337529
"1 Byatt Place, Isaacs, ACT 2607",149.1115978,-35.3742149
"95 Alberga Street, Kaleen, ACT 2617",149.1020457,-35.2339249
"33 Morrow Street, Dunlop, ACT 2615",149.0280752,-35.1918316
"33 Maclaurin Crescent, Chifley, ACT 2606",149.080881,-35.3506049
"26 Halfrey Circuit, Wanniassa, ACT 2903",149.0922252,-35.3985211
"31/47 Wentworth Avenue, Kingston, ACT 2604",149.1456513,-35.3158528
"18 Frome Street, Griffith, ACT 2603",149.145283,-35.3264123
"8 Lupus Place, Giralang, ACT 2617",149.0964403,-35.2068982
"14 Glasgow Street, Hughes, ACT 2605",149.1000277,-35.3297508
"402/85 Eyre Street, Kingston, ACT 2604",149.1481482,-35.3141108
"16/7 Sydney Avenue, Barton, ACT 2600",149.1327049,-35.3126816
"12 Mack Street, Richardson, ACT 2905",149.1134815,-35.4276315
"208/1 Anthony Rolfe Avenue, Gungahlin, ACT 2912",149.1299195,-35.181994
"112 Jabanungga Avenue, Ngunnawal, ACT 2913",149.1030771,-35.1671843
"18 Bindaga Place, Aranda, ACT 2614",149.0749628,-35.2561468
"10 Frayne Place, Stirling, ACT 2611",149.051965,-35.3507268
"412/17 Dooring Street, Braddon, ACT 2612",149.1339014,-35.2611514
"13 Kubbadang Street, Ngunnawal, ACT 2913",149.1060817,-35.1625883
"216B La Perouse Street, Red Hill, ACT 2603",149.1285194,-35.3400609
"71/1 Anthony Rolfe Avenue, Gungahlin, ACT 2912",149.1299195,-35.181994
"1109/1 Grazier Lane, Belconnen, ACT 2617",149.0720674,-35.2402237
"98 Tredwell Street, Strathnairn, ACT 2615",148.996188,-35.2294457
"22 Ebden Street, Ainslie, ACT 2602",149.1466289,-35.2680851
"55/1 Mouat Street, Lyneham, ACT 2602",149.1327576,-35.2485434
"8 BRIGER STREET, Taylor, ACT 2913",149.1049712,-35.1507167
"11 Bural Court, Ngunnawal, ACT 2913",149.1064978,-35.1765383
"8 Mighell Place, Theodore, ACT 2905",149.128058,-35.4458571
"25 Bunduluk Crescent, Ngunnawal, ACT 2913",149.105315,-35.1668595
"25/58 Eileen Good Street, Greenway, ACT 2900",149.0621633,-35.4124015
"1/18 Devonport Street, Lyons, ACT 2606",149.0761508,-35.3388007
"38 Everist Street, Taylor, ACT 2913",149.1185282,-35.1507227
"54 Jackie Howe Crescent, Macarthur, ACT 2904",149.1277441,-35.4031269
"613/2 Gribble Street, Gungahlin, ACT 2912",149.1308313,-35.181569
"6 Chipperfield Circuit, Gordon, ACT 2906",149.0894003,-35.4739822
"16 Conway Place, Gowrie, ACT 2904",149.1076065,-35.4158934
"92 Ashkanasy Crescent, Evatt, ACT 2617",149.0707484,-35.2106058
"21 Cameleer Lane, Strathnairn, ACT 2615",148.9936526,-35.2314431
"55/136 Thynne Street, Bruce, ACT 2617",149.0997362,-35.2422266
"1025/15 Bowes Street, Phillip, ACT 2606",149.0868669,-35.3441316
"87/148 Flemington Road, Harrison, ACT 2914",149.1494785,-35.202444
"3/1 Pipeclay Street, Lawson, ACT 2617",149.0878869,-35.2280764
"7 Morrell Place, Rivett, ACT 2611",149.035784,-35.3456814
"50 Pademelon Street, Throsby, ACT 2914",149.1590227,-35.1844385
"12 Cobden Street, Taylor, ACT 2913",149.1099161,-35.1783044
"49 Bosworth Circuit, Kambah, ACT 2902",149.0560106,-35.3743506
"20 Lambert Street, Lyneham, ACT 2602",149.1203659,-35.2461787
"70 Majura Avenue, Ainslie, ACT 2602",149.1407077,-35.2571687
"5 Elsey Street, Hawker, ACT 2614",149.0302489,-35.2483044
"14 Paul Coe Crescent, Ngunnawal, ACT 2913",149.1196258,-35.1751889
"220 Longmore Crescent, Wanniassa, ACT 2903",149.09866,-35.3983821
"6 Kanga Place, Gordon, ACT 2906",149.0823158,-35.4662835
"716/15 Bowes Street, Phillip, ACT 2606",149.0868669,-35.3441316
"4 Sturgess Place, Weston, ACT 2611",149.0619616,-35.3448678
"59 WOODWARD LOOP, Taylor, ACT 2913",149.1058716,-35.1512264
"11 Ngunawal Drive, O'Malley, ACT 2606",149.1069786,-35.3609645
"1802/256 Glazier St Belconnen, Belconnen, ACT 2617",149.0787619,-35.2511834
"22 Kartinyeri Street, Bonner, ACT 2914",149.1479298,-35.1518914
"24 Endeavour Street, Red Hill, ACT 2603",149.1303904,-35.3439457
"61 Beattie Crescent, Chisholm, ACT 2905",149.1133021,-35.4214565
"703/39 London Circuit, City, ACT 2601",149.1268246,-35.2793791
"2/16 Leighton Street, Pearce, ACT 2607",149.0813294,-35.367951
"422 Bugden Avenue, Fadden, ACT 2904",149.1103421,-35.4015471
"71 Fred Daly Avenue, Coombs, ACT 2611",149.0416331,-35.314157
"9 Baldwinson Street, Taylor, ACT 2913",149.0986681,-35.1511405
"52 Culgoa Circuit, O'Malley, ACT 2606",149.1085258,-35.3509085
"46 Jacka Place, Campbell, ACT 2612",149.1508907,-35.2898296
"16 Bage Place, Mawson, ACT 2607",149.1010591,-35.3608054
"142/1 Anthony Rolfe Ave, Gungahlin, ACT 2912",149.1299195,-35.181994
"6 Dempsey Place, Gordon, ACT 2906",149.0825176,-35.441644
"2 Keith Bain Crest, Whitlam, ACT 2611",149.0449171,-35.2724576
"17 Malcolm Cole Terrace, Whitlam, ACT 2611",149.0449171,-35.2724576
"703/240 Bunda St, City, ACT 2601",149.134405,-35.2816321
"20 Roseworthy Crescent, Farrer, ACT 2607",149.1070235,-35.374901
"68 Jennings Street, Curtin, ACT 2605",149.0733936,-35.3252918
"11 Willesee Rise, Coombs, ACT 2611",149.0448827,-35.313001
"G12/20 Anzac Park, Campbell, ACT 2612",149.1430188,-35.2889835
"65 MacFarland Crescent, Pearce, ACT 2607",149.0771597,-35.3597918
"38 Mabo Boulevard, Bonner, ACT 2914",149.1393617,-35.1629369
"1504/2 Marcus Clarke Street, City, ACT 2601",149.125988,-35.284707
"3/20 Allara Street, City, ACT 2601",149.1331195,-35.2817423
"813/6 Grazier Lane, Belconnen, ACT 2617",149.0719813,-35.2401725
"38 Thunder Circuit, Harrison, ACT 2914",149.1621067,-35.2049476
"4 Cameron Street, Farrer, ACT 2607",149.101956,-35.3769211
"307/25 - Edinburgh Avenue, Acton, ACT 2601",149.1225939,-35.284914
"51/4 Henshall Way, Macquarie, ACT 2614",149.070457,-35.2536454
"210 Bugden Avenue, Fadden, ACT 2904",149.1207919,-35.4069411
"102/66 Allara Street, City, ACT 2601",149.130996,-35.2851756
"15 Malcolm Cole Terrace, Whitlam, ACT 2611",149.0449171,-35.2724576
"21 Courtice Close, Fadden, ACT 2904",149.1214647,-35.39895
"21 Dumaresq Street, Dickson, ACT 2602",149.1427261,-35.2510991
"19 Battersby Circuit, Kambah, ACT 2902",149.0536684,-35.3757909
"14 Maplestone Place, Chapman, ACT 2611",149.0475497,-35.3570968
"Lot TBA, TBA No street name, Whitlam, ACT 2611",149.0449171,-35.2724576
"131/41 Chandler Street, Belconnen, ACT 2617",149.0709502,-35.2394623
"8 Bayne Street Street, Taylor, ACT 2913",149.1099161,-35.1783044
"20 Buntine Crescent, Isaacs, ACT 2607",149.1150512,-35.3705358
